FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent
19643,"Johnson, Daniel",BAA,RF,NC
25448,"Jones, Greg",CON,RF,NC
20311,"Julks, Corey",CHA,RF/LF,181
27781,"Leon, Pedro",HOA,RF,NC
25505,"Marlowe, Cade",SEA,RF/CF,NC
26467,"Matos, Luis",SFN,RF/CF,157
19928,"McKenna, Ryan",SFN/BAA,RF,NC
22054,"Myers, Dane",MMN,RF/CF,99
19698,"Olivares, Edward",PIN,RF,182
19818,"Palacios, Josh",PIN,RF,70
2136,"Peralta, David",SDN,RF,247
2967,"Pham, Tommy",KCA/SLN/CHA,RF/LF/CF,462
15464,"Renfroe, Hunter",KCA,RF,404
22530,"Rodriguez, Johnathan",CLA,RF,NC
16153,"Slater, Austin",BAA/CIN/SFN,RF/LF,185
17766,"Stewart, DJ",NYN,RF,165
15274,"Tauchman, Mike",CHN,RF,312
13675,"Taylor, Tyrone",NYN,RF/CF,334
20505,"Waters, Drew",KCA,RF/LF,NC
19346,"White, Eli",ATN,RF/LF,NC
